pollutant,root,time_window,sensor_group,DIP_L1,KRG_L1,IDW_L1,DIP_MSE,KRG_MSE,IDW_MSE,target_mean_abs,target_max,target_std,target_p90_p10,gap_l1_dip_minus_krg,gap_mse_dip_minus_krg
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-01 06:00:00,4-38-41-42,2.5989830493927,2.7285428047180176,3.813911437988281,8.998401641845703,12.08641529083252,20.3502140045166,8.300000190734863,16.0,5.874521255493164,12.519998550415039,-0.12955975532531738,-3.0880136489868164
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-04 07:00:00,4-38-41-42,10.461586952209473,14.322015762329102,17.57513427734375,221.60562133789065,262.57928466796875,414.6407775878906,18.774999618530273,37.900001525878906,13.461125373840332,27.60999870300293,-3.860428810119629,-40.9736633300781
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-04 13:00:00,4-38-41-42,10.652015686035156,9.551679611206056,13.024860382080078,183.5582733154297,158.7706756591797,261.8052062988281,17.549999237060547,24.299999237060547,10.14753532409668,17.03999900817871,1.1003360748290998,24.78759765625
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-04 14:00:00,4-38-41-42,9.84197235107422,9.549542427062988,11.5865478515625,124.383056640625,143.50611877441406,231.1862030029297,17.375,27.700000762939453,10.41234302520752,19.6299991607666,0.29242992401123225,-19.123062133789062
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-06 07:00:00,4-38-41-42,13.445579528808594,10.79743766784668,14.75231647491455,294.6038818359375,223.88986206054688,307.81378173828125,20.55000114440918,30.100000381469727,11.979254722595215,21.100000381469727,2.648141860961914,70.71401977539062
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-06 13:00:00,4-38-41-42,7.875062942504883,6.062043190002441,7.505540370941162,109.13440704345705,67.45691680908203,98.57128143310548,9.72499942779541,13.899999618530273,5.66541051864624,10.149999618530273,1.8130197525024414,41.677490234375014
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-06 20:00:00,4-38-41-42,10.166502952575684,10.44388198852539,12.386857986450195,175.55332946777344,188.1076812744141,260.3985290527344,13.524999618530273,20.799999237060547,8.031617164611816,15.249998092651367,-0.27737903594970703,-12.554351806640653
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-07 17:00:00,4-38-41-42,9.444583892822266,8.049898147583008,9.460969924926758,117.5917739868164,114.4518051147461,154.99232482910156,14.175000190734863,21.200000762939453,8.310347557067871,15.10999870300293,1.3946857452392578,3.1399688720703125
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-11 08:00:00,4-38-41-42,24.51962280273437,24.291648864746094,26.929319381713867,960.8599853515624,886.0886840820312,900.4427490234375,20.399999618530273,43.0,20.459226608276367,41.68000030517578,0.2279739379882777,74.77130126953114
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-11 16:00:00,4-38-41-42,24.60684585571289,23.51495742797852,26.76466941833496,1009.8656005859376,876.5604248046875,932.723388671875,22.0,44.20000076293945,22.000455856323242,44.08000183105469,1.0918884277343714,133.3051757812501
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-12 09:00:00,4-38-41-42,24.42054748535156,23.212621688842773,27.77235984802246,817.9828491210938,705.0401000976562,897.8135986328125,17.225000381469727,37.900001525878906,17.396892547607422,35.82999801635742,1.2079257965087855,112.9427490234375
AIRPARIF_NO2,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\cross_dataset_no2_nox_autoencoder\airparif_no2_baseline,2024-01-13 10:00:00,4-38-41-42,20.72002410888672,22.65286064147949,21.480871200561523,575.627685546875,590.411376953125,592.333740234375,10.649999618530273,25.399999618530273,11.03754997253418,22.939998626708984,-1.9328365325927699,-14.78369140625
