pollutant,case_type,time_window,target_mean_abs,target_std,target_p90_p10,DIP_L1,KRG_L1,IDW_L1,gap_l1_dip_minus_krg,DIP_MSE,KRG_MSE,gap_mse_dip_minus_krg
AIRPARIF_NO2,best_l1_vs_krg,2024-08-19 06:00:00,25.4875,16.87213306427002,33.86299819946289,8.194676685333253,9.275324726104737,8.563289213180543,-1.0806480407714838,112.65878334045411,133.48888626098633,-20.83010292053223
AIRPARIF_NO2,best_l1_vs_krg,2024-04-27 17:00:00,19.4875,12.066404104232788,24.9469970703125,8.469337320327758,9.248114347457886,12.266105365753173,-0.7787770271301266,147.80174255371094,162.25231399536133,-14.450571441650391
AIRPARIF_NO2,best_l1_vs_krg,2024-09-06 10:00:00,26.59000015258789,16.275847864151,32.46199779510498,11.204263973236085,11.90016803741455,11.572562313079834,-0.6959040641784668,176.2361530303955,221.4299629211426,-45.19380989074706
AIRPARIF_NO2,best_l1_vs_krg,2024-03-05 12:00:00,14.60749979019165,9.03660445213318,18.766997814178467,7.0448496580123905,7.569559383392334,9.421942615509034,-0.5247097253799438,110.76053810119629,137.32836685180663,-26.567828750610353
AIRPARIF_NO2,best_l1_vs_krg,2024-03-01 06:00:00,18.27999954223633,10.581779158115387,20.52199754714966,8.392125654220582,8.846806192398072,9.403257131576538,-0.4546805381774903,137.4802686691284,149.03209495544434,-11.55182628631593
AIRPARIF_NO2,worst_l1_vs_krg,2024-05-17 20:00:00,44.955000495910646,29.033217430114746,60.025993728637694,19.188111782073975,12.925384902954102,13.817014169692992,6.262726879119873,501.82996063232423,317.6765209197998,184.1534397125244
AIRPARIF_NO2,worst_l1_vs_krg,2024-09-28 20:00:00,44.96999969482422,25.270090770721435,50.13199882507324,25.096158599853517,19.78136444091797,20.571721744537353,5.3147941589355465,930.1598846435547,738.6211776733398,191.53870697021483
AIRPARIF_NO2,worst_l1_vs_krg,2024-10-13 19:00:00,38.29249992370605,21.012005138397218,42.4549976348877,16.110895013809206,11.791832351684572,10.309202480316163,4.319062662124632,358.88307800292966,228.69252014160156,130.19055786132813
AIRPARIF_NO2,worst_l1_vs_krg,2024-01-27 19:00:00,43.42250022888184,21.87926836013794,43.126996231079104,14.529745101928711,10.687138652801513,9.995404911041259,3.842606449127197,453.8369762420654,306.4928283691406,147.3441478729248
AIRPARIF_NO2,worst_l1_vs_krg,2024-12-20 06:00:00,37.647500610351564,15.622554206848145,30.988995933532713,13.67218804359436,9.858464193344116,11.072360610961914,3.813723850250244,399.51296615600586,265.73563919067385,133.77732696533204
