pollutant,case_type,time_window,sensor_group,window_gap_l1_dip_minus_krg,DIP_L1,KRG_L1,IDW_L1,DIP_MSE,KRG_MSE,IDW_MSE,target_mean_abs,target_p90_p10,train_cells,val_cells,test_cells,html
METRAQ_NO_BASELINE,best_l1_vs_krg,2024-01-10 08:00:00,28079018-28079039-28079040-28079059,-7.65449857711792,14.189101219177246,20.461408615112305,21.38715362548828,234.0964813232422,479.1086120605469,495.98602294921875,53.0,45.799991607666016,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_baseline_best_20240110T080000_28079018-28079039-28079040-28079059.html
METRAQ_NO_BASELINE,worst_l1_vs_krg,2024-12-02 20:00:00,28079036-28079038-28079056-28079057,10.36334342956543,69.21784210205078,57.11284255981445,53.23944854736328,5441.9482421875,4451.03125,4046.3779296875,153.25,99.6999969482422,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_baseline_worst_20241202T200000_28079036-28079038-28079056-28079057.html
METRAQ_NO_ADD24H,best_l1_vs_krg,2024-12-31 08:00:00,28079016-28079038-28079056-28079057,-2.945426225662231,10.517692565917969,13.553325653076172,11.223859786987305,268.42333984375,270.7881164550781,277.9144592285156,20.75,49.89999008178711,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_add24h_best_20241231T080000_28079016-28079038-28079056-28079057.html
METRAQ_NO_ADD24H,worst_l1_vs_krg,2024-12-02 20:00:00,28079024-28079027-28079054-28079058,2.127177047729491,105.11509704589844,100.18507385253906,98.17675018310547,13059.95703125,11858.576171875,13599.876953125,96.0,190.9999542236328,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_add24h_worst_20241202T200000_28079024-28079027-28079054-28079058.html
METRAQ_NO_TRAFFICDATA,best_l1_vs_krg,2024-12-31 08:00:00,28079018-28079027-28079054-28079058,-4.255980110168456,12.304681777954102,16.575088500976562,12.692788124084473,229.52032470703125,297.9923095703125,269.929931640625,18.75,17.099998474121094,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_trafficdata_best_20241231T080000_28079018-28079027-28079054-28079058.html
METRAQ_NO_TRAFFICDATA,worst_l1_vs_krg,2024-12-02 20:00:00,28079017-28079039-28079049-28079059,2.852106857299806,104.4582290649414,103.71234893798828,97.89665222167969,12935.7099609375,12098.912109375,11272.966796875,149.5,205.8000030517578,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_trafficdata_worst_20241202T200000_28079017-28079039-28079049-28079059.html
METRAQ_NO_ADDONS,best_l1_vs_krg,2024-01-08 09:00:00,28079036-28079038-28079056-28079057,-6.755082702636718,74.92777252197266,77.77885437011719,74.84593963623047,11066.8896484375,10720.8046875,11407.1181640625,220.0,208.39996337890625,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_addons_best_20240108T090000_28079036-28079038-28079056-28079057.html
METRAQ_NO_ADDONS,worst_l1_vs_krg,2024-12-16 11:00:00,28079017-28079039-28079049-28079059,1.4158461570739747,14.719147682189941,13.43103313446045,16.164905548095703,238.48892211914062,201.05702209472656,346.0946960449219,15.25,8.899999618530273,16,4,4,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\window_diagnostics\window_visualizations\metraq_no_addons_worst_20241216T110000_28079017-28079039-28079049-28079059.html
