Dataset,Pollutant,Setup,Metric,DIP mean,KRG mean,IDW mean,DIP win pct,KRG win pct,IDW win pct,DIP mean rank,KRG mean rank,IDW mean rank,Friedman pvalue,DIP vs KRG direction,DIP vs KRG pvalue,DIP vs KRG holm pvalue,DIP vs IDW direction,DIP vs IDW pvalue,DIP vs IDW holm pvalue,KRG vs IDW direction,KRG vs IDW pvalue,KRG vs IDW holm pvalue
METRAQ,NO2,last_hour_supervision_autoencoder,MAE,6.542461456358433,6.275890568196774,6.567090450401108,37.25,38.75,24.0,2.02625,1.81125,2.1625,2.0524989870062845e-33,KRG,2.7313772337841008e-12,5.4627544675682015e-12,DIP,0.015681762744814583,0.015681762744814583,KRG,9.385733694564484e-44,2.8157201083693453e-43
METRAQ,NO2,last_hour_supervision_autoencoder,MSE,92.18262758431956,81.13199433773757,87.39156544314076,36.291666666666664,37.916666666666664,25.791666666666668,2.0504166666666666,1.80875,2.140833333333333,1.8912182840545648e-31,KRG,7.681052114411425e-14,1.536210422882285e-13,IDW,0.21827419960086047,0.21827419960086047,KRG,8.933756050525069e-35,2.6801268151575205e-34
METRAQ,NO2,last_hour_supervision_autoencoder,WAPE,0.35854969415976173,0.3414982858249058,0.3680334181837093,37.25,38.75,24.0,2.02625,1.81125,2.1625,2.0524989870062845e-33,KRG,8.720047919906671e-14,1.7440095839813341e-13,DIP,7.116847850810898e-05,7.116847850810898e-05,KRG,5.170319648678644e-67,1.5510958946035933e-66
METRAQ,NO2,all_hours_supervision_autoencoder,MAE,6.392368324299653,6.275890568196774,6.567090450401108,37.291666666666664,38.83333333333333,23.875,2.0145833333333334,1.81375,2.171666666666667,2.8362322395068223e-34,KRG,6.224924052973528e-07,1.2449848105947055e-06,DIP,9.647785713710006e-07,1.2449848105947055e-06,KRG,9.385733694564484e-44,2.8157201083693453e-43
METRAQ,NO2,all_hours_supervision_autoencoder,MSE,84.99479161471129,81.13199433773757,87.39156544314076,36.75,37.75,25.5,2.0366666666666666,1.8179166666666666,2.1454166666666667,1.0012184385208372e-29,KRG,6.797037589355316e-08,1.3594075178710633e-07,DIP,0.002931968555941711,0.002931968555941711,KRG,8.933756050525069e-35,2.6801268151575205e-34
METRAQ,NO2,all_hours_supervision_autoencoder,WAPE,0.3507393615766616,0.3414982858249058,0.3680334181837093,37.291666666666664,38.83333333333333,23.875,2.0145833333333334,1.81375,2.171666666666667,2.8362322395068223e-34,KRG,6.874555666897333e-09,6.874555666897333e-09,DIP,3.185088448930775e-12,6.37017689786155e-12,KRG,5.170319648678644e-67,1.5510958946035933e-66
METRAQ,NOX,last_hour_supervision_unet,MAE,13.097169733146826,12.34035130913059,12.56527963380019,43.708333333333336,33.58333333333333,22.708333333333332,1.925,1.8908333333333334,2.1841666666666666,1.5191194293232412e-27,KRG,0.6192619724223559,0.6192619724223559,IDW,5.682962674548167e-09,1.1365925349096334e-08,KRG,6.206679809620092e-29,1.8620039428860277e-28
METRAQ,NOX,last_hour_supervision_unet,MSE,3557.38521051423,609.2788768257946,624.8456792101513,41.083333333333336,34.291666666666664,24.625,1.96875,1.8591666666666666,2.172083333333333,5.269212097034452e-27,KRG,0.028730566329704128,0.028730566329704128,IDW,0.0010434678518955335,0.002086935703791067,KRG,8.29627591292738e-25,2.4888827738782143e-24
METRAQ,NOX,last_hour_supervision_unet,WAPE,0.42069960039415777,0.37511389642457826,0.400283889816843,43.708333333333336,33.58333333333333,22.708333333333332,1.925,1.8908333333333334,2.1841666666666666,1.5191194293232412e-27,KRG,0.7011850829608629,0.7011850829608629,IDW,2.3957788660416246e-17,4.791557732083249e-17,KRG,1.3424112555654032e-58,4.02723376669621e-58
METRAQ,NOX,all_hours_supervision_unet,MAE,12.147503350824117,12.34035130913059,12.56527963380019,42.833333333333336,30.666666666666664,26.5,1.94,1.8841666666666668,2.1758333333333333,1.0438968252456061e-25,DIP,0.958164697995505,0.958164697995505,DIP,1.3346712139790302e-08,2.6693424279580604e-08,KRG,6.206679809620092e-29,1.8620039428860277e-28
METRAQ,NOX,all_hours_supervision_unet,MSE,595.5804592331996,609.2788768257946,624.8456792101513,41.375,31.374999999999996,27.250000000000004,1.9754166666666666,1.85,2.1745833333333335,1.1876373782304462e-28,DIP,0.0008399887623737978,0.0008399887623737978,DIP,0.00011224020668907067,0.00022448041337814133,KRG,8.29627591292738e-25,2.4888827738782143e-24
METRAQ,NOX,all_hours_supervision_unet,WAPE,0.38000920763653406,0.37511389642457826,0.400283889816843,42.833333333333336,30.666666666666664,26.5,1.94,1.8841666666666668,2.1758333333333333,1.0438968252456061e-25,KRG,0.9866758043680707,0.9866758043680707,DIP,1.6094378183544796e-16,3.218875636708959e-16,KRG,1.3424112555654032e-58,4.02723376669621e-58
