Pollutant,Metric,Rows,Last-hour mean,All-hours mean,Mean delta,Relative delta %,Last-hour better rows,All-hours better rows
NO2,MAE,2400,6.542461456358433,6.392368324299653,0.1500931320587794,2.34800506548134,1146,1254
NO2,MSE,2400,92.18262758431956,84.99479161471129,7.187835969608277,8.45679580249028,1169,1231
NOX,MAE,2400,13.097169733146826,12.147503350824117,0.9496663823227087,7.817790659496149,1230,1170
NOX,MSE,2400,3557.38521051423,595.5804592331996,2961.8047512810303,497.2971670518383,1212,1188
