pollutant,case_type,time_window,target_mean_abs,target_std,target_p90_p10,DIP_L1,KRG_L1,IDW_L1,gap_l1_dip_minus_krg,DIP_MSE,KRG_MSE,gap_mse_dip_minus_krg
METRAQ_NO_ADD24H,best_l1_vs_krg,2024-12-31 08:00:00,22.825,25.59896764755249,48.18999137878418,16.984791135787965,19.930217361450197,16.813658142089842,-2.945426225662231,909.0302299499511,1130.6305519104003,-221.6003219604492
METRAQ_NO_ADD24H,best_l1_vs_krg,2024-01-10 08:00:00,58.375,23.062785816192626,48.129996109008786,15.987717628479004,18.782351589202882,16.29338159561157,-2.794633960723877,350.17112426757814,456.2631210327148,-106.09199676513671
METRAQ_NO_ADD24H,best_l1_vs_krg,2024-10-22 20:00:00,25.6,28.998530673980714,53.43998918533325,22.607468366622925,25.23085536956787,24.19353141784668,-2.623387002944945,1270.3113201141357,1245.9713165283204,24.34000358581543
METRAQ_NO_ADD24H,best_l1_vs_krg,2024-11-29 18:00:00,97.975,49.10723180770874,98.12998695373535,48.28030834197998,50.71697311401367,51.60369482040405,-2.436664772033691,3693.178851318359,3838.0088134765624,-144.82996215820313
METRAQ_NO_ADD24H,best_l1_vs_krg,2024-11-17 17:00:00,16.7,12.98839349746704,25.01999568939209,11.974324870109559,14.146334362030029,14.37952766418457,-2.172009491920471,313.9250111579895,314.6159828186035,-0.6909716606140137
METRAQ_NO_ADD24H,worst_l1_vs_krg,2024-12-02 20:00:00,121.125,64.52734785079956,127.46998596191406,67.85530815124511,65.72813110351562,63.1481409072876,2.127177047729491,6782.918286132813,6331.567553710937,451.350732421875
METRAQ_NO_ADD24H,worst_l1_vs_krg,2024-12-16 11:00:00,27.73499984741211,17.554195737838747,34.58999481201172,14.536690711975098,12.974994897842407,13.733184576034546,1.5616958141326907,337.30358428955077,260.3262451171875,76.97733917236329
METRAQ_NO_ADD24H,worst_l1_vs_krg,2024-01-08 09:00:00,173.6375,78.87353744506837,160.69497833251953,74.1176326751709,72.7995994567871,70.41762809753418,1.318033218383789,9328.976440429688,8915.634765625,413.3416748046875
METRAQ_NO_ADD24H,worst_l1_vs_krg,2024-08-23 08:00:00,11.985000038146973,8.581029045581818,16.869997262954712,7.923639297485352,6.749166417121887,6.407380533218384,1.1744728803634643,106.32233619689941,70.23353061676025,36.08880558013916
METRAQ_NO_ADD24H,worst_l1_vs_krg,2024-07-17 08:00:00,12.8,11.269454145431519,21.23999614715576,9.611977481842041,8.624333906173707,8.576502752304076,0.9876435756683349,238.3410795211792,214.76644639968873,23.574633121490475
METRAQ_NO_ADDONS,best_l1_vs_krg,2024-01-08 09:00:00,173.6375,78.87353744506837,160.69497833251953,66.0445167541504,72.7995994567871,70.41762809753418,-6.755082702636718,7716.221911621094,8915.634765625,-1199.4128540039062
METRAQ_NO_ADDONS,best_l1_vs_krg,2024-10-22 20:00:00,25.6,28.998530673980714,53.43998918533325,21.207680654525756,25.23085536956787,24.19353141784668,-4.0231747150421135,1127.0219703674315,1245.9713165283204,-118.94934616088867
METRAQ_NO_ADDONS,best_l1_vs_krg,2024-10-13 20:00:00,18.95,15.46373348236084,29.879994487762453,13.008247303962708,16.053913116455078,16.156478500366212,-3.045665812492369,382.09417419433595,442.4999435424805,-60.40576934814453
METRAQ_NO_ADDONS,best_l1_vs_krg,2024-12-31 08:00:00,22.825,25.59896764755249,48.18999137878418,17.026872825622558,19.930217361450197,16.813658142089842,-2.903344535827636,838.0232986450195,1130.6305519104003,-292.60725326538085
METRAQ_NO_ADDONS,best_l1_vs_krg,2024-02-03 09:00:00,21.3,16.006388092041014,32.239996147155765,10.848179006576538,13.3264892578125,12.106492948532104,-2.478310251235962,242.4624433517456,271.7567512512207,-29.294307899475097
METRAQ_NO_ADDONS,worst_l1_vs_krg,2024-12-16 11:00:00,27.73499984741211,17.554195737838747,34.58999481201172,14.390841054916383,12.974994897842407,13.733184576034546,1.4158461570739747,329.1469253540039,260.3262451171875,68.82068023681641
METRAQ_NO_ADDONS,worst_l1_vs_krg,2024-08-23 08:00:00,11.985000038146973,8.581029045581818,16.869997262954712,7.806770634651184,6.749166417121887,6.407380533218384,1.0576042175292968,104.8490982055664,70.23353061676025,34.61556758880615
METRAQ_NO_ADDONS,worst_l1_vs_krg,2024-07-17 08:00:00,12.8,11.269454145431519,21.23999614715576,9.504190635681152,8.624333906173707,8.576502752304076,0.8798567295074464,237.98800354003907,214.76644639968873,23.22155714035034
METRAQ_NO_ADDONS,worst_l1_vs_krg,2024-02-08 08:00:00,33.975,21.161262416839598,40.16999340057373,15.377941036224366,14.664363670349122,15.347378349304199,0.7135773658752439,560.7986068725586,377.10170326232907,183.69690361022953
METRAQ_NO_ADDONS,worst_l1_vs_krg,2024-12-13 09:00:00,17.6,10.222425842285157,20.239997482299806,7.8199289560317995,7.33118085861206,6.665380668640137,0.48874809741973857,115.90340747833253,84.03417778015137,31.86922969818115
METRAQ_NO_BASELINE,best_l1_vs_krg,2024-01-10 08:00:00,58.375,23.062785816192626,48.129996109008786,11.12785301208496,18.782351589202882,16.29338159561157,-7.65449857711792,189.76152572631835,456.2631210327148,-266.5015953063965
METRAQ_NO_BASELINE,best_l1_vs_krg,2024-11-09 07:00:00,45.0,22.441131782531738,45.53999328613281,11.525198841094971,16.799089622497558,13.585921001434325,-5.273890781402588,224.8720245361328,498.3967254638672,-273.5247009277344
METRAQ_NO_BASELINE,best_l1_vs_krg,2024-03-15 09:00:00,32.775,19.18217840194702,38.52999496459961,7.86777651309967,12.269118309020996,9.186680555343628,-4.401341795921325,117.13491230010986,235.36957702636718,-118.23466472625732
METRAQ_NO_BASELINE,best_l1_vs_krg,2024-12-31 08:00:00,22.825,25.59896764755249,48.18999137878418,15.884568691253662,19.930217361450197,16.813658142089842,-4.045648670196532,766.90107421875,1130.6305519104003,-363.7294776916504
METRAQ_NO_BASELINE,best_l1_vs_krg,2024-01-14 17:00:00,42.425,17.930431509017943,37.169997978210446,10.10123610496521,13.792136859893798,10.785221910476684,-3.690900754928589,183.63131732940673,289.2582580566406,-105.62694072723389
METRAQ_NO_BASELINE,worst_l1_vs_krg,2024-12-02 20:00:00,121.125,64.52734785079956,127.46998596191406,76.09147453308105,65.72813110351562,63.1481409072876,10.36334342956543,8116.11455078125,6331.567553710937,1784.5469970703125
METRAQ_NO_BASELINE,worst_l1_vs_krg,2024-11-29 18:00:00,97.975,49.10723180770874,98.12998695373535,55.82217979431152,50.71697311401367,51.60369482040405,5.105206680297849,4679.020227050782,3838.0088134765624,841.0114135742188
METRAQ_NO_BASELINE,worst_l1_vs_krg,2024-11-17 18:00:00,51.17499980926514,31.427282667160036,60.92999267578125,43.6287181854248,40.61927433013916,41.30168075561524,3.009443855285646,2641.777685546875,2209.576550292969,432.2011352539063
METRAQ_NO_BASELINE,worst_l1_vs_krg,2024-12-16 11:00:00,27.73499984741211,17.554195737838747,34.58999481201172,15.355063724517823,12.974994897842407,13.733184576034546,2.380068826675415,423.9472770690918,260.3262451171875,163.62103195190429
METRAQ_NO_BASELINE,worst_l1_vs_krg,2024-07-17 08:00:00,12.8,11.269454145431519,21.23999614715576,10.642293119430542,8.624333906173707,8.576502752304076,2.017959213256836,249.85589027404785,214.76644639968873,35.089443874359134
METRAQ_NO_TRAFFICDATA,best_l1_vs_krg,2024-12-31 08:00:00,22.825,25.59896764755249,48.18999137878418,15.674237251281738,19.930217361450197,16.813658142089842,-4.255980110168456,781.7673940658569,1130.6305519104003,-348.8631578445435
METRAQ_NO_TRAFFICDATA,best_l1_vs_krg,2024-01-08 09:00:00,173.6375,78.87353744506837,160.69497833251953,69.13141098022462,72.7995994567871,70.41762809753418,-3.6681884765625012,8564.579760742188,8915.634765625,-351.0550048828125
METRAQ_NO_TRAFFICDATA,best_l1_vs_krg,2024-10-22 20:00:00,25.6,28.998530673980714,53.43998918533325,22.387833023071288,25.23085536956787,24.19353141784668,-2.843022346496583,1371.9932823181152,1245.9713165283204,126.02196578979492
METRAQ_NO_TRAFFICDATA,best_l1_vs_krg,2024-11-17 18:00:00,51.17499980926514,31.427282667160036,60.92999267578125,37.84991989135742,40.61927433013916,41.30168075561524,-2.769354438781738,2205.6632568359373,2209.576550292969,-3.9132934570312727
METRAQ_NO_TRAFFICDATA,best_l1_vs_krg,2024-02-13 14:00:00,15.35,12.509059143066406,25.079997253417968,7.570028495788574,10.086669492721558,7.3106067180633545,-2.5166409969329835,104.11998682022094,139.38004722595215,-35.2600604057312
METRAQ_NO_TRAFFICDATA,worst_l1_vs_krg,2024-12-02 20:00:00,121.125,64.52734785079956,127.46998596191406,68.58023796081542,65.72813110351562,63.1481409072876,2.852106857299806,6804.834545898438,6331.567553710937,473.2669921875
METRAQ_NO_TRAFFICDATA,worst_l1_vs_krg,2024-12-16 11:00:00,27.73499984741211,17.554195737838747,34.58999481201172,15.71881914138794,12.974994897842407,13.733184576034546,2.7438242435455322,370.0700378417969,260.3262451171875,109.74379272460938
