pollutant,root,time_window,sensor_group,DIP_L1,KRG_L1,IDW_L1,DIP_MSE,KRG_MSE,IDW_MSE,target_mean_abs,target_max,target_std,target_p90_p10,gap_l1_dip_minus_krg,gap_mse_dip_minus_krg
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-04 10:00:00,28079024-28079027-28079054-28079058,10.662477493286133,11.58966064453125,11.018792152404783,167.33206176757812,202.0381774902344,221.81320190429688,18.5,40.0,14.361406326293945,29.999998092651367,-0.9271831512451172,-34.70611572265628
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-05 19:00:00,28079024-28079027-28079054-28079058,2.9431610107421875,1.914398550987244,1.538900375366211,15.210036277770996,5.139293670654297,3.164523124694824,1.75,4.0,1.299038052558899,2.09999942779541,1.0287624597549434,10.0707426071167
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-06 08:00:00,28079024-28079027-28079054-28079058,0.96580970287323,1.0412973165512085,3.310856819152832,1.0810647010803225,2.1004412174224854,24.03008460998535,4.0,9.0,3.0,5.599998950958252,-0.07548761367797852,-1.0193765163421629
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-07 07:00:00,28079024-28079027-28079054-28079058,2.7405478954315186,4.4690842628479,4.935857772827148,8.438091278076172,24.171226501464844,38.330360412597656,5.5,12.0,4.7169904708862305,9.799999237060547,-1.7285363674163818,-15.733135223388672
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-08 09:00:00,28079024-28079027-28079054-28079058,112.883056640625,125.63841247558594,107.68109130859376,17452.837890625,17822.875,14384.994140625,115.75,309.0,119.45161437988281,236.29995727539062,-12.755355834960938,-370.037109375
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-09 15:00:00,28079024-28079027-28079054-28079058,3.857653379440308,2.536072492599488,3.538141250610352,16.10712242126465,10.729286193847656,15.07878875732422,6.0,10.0,3.1622776985168457,6.799999713897705,1.3215808868408199,5.377836227416992
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-10 08:00:00,28079024-28079027-28079054-28079058,9.903021812438965,25.62038803100586,12.913534164428713,129.867919921875,686.8032836914062,283.69830322265625,60.25,98.0,32.75954055786133,69.0999984741211,-15.717366218566895,-556.9353637695312
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-10 17:00:00,28079024-28079027-28079054-28079058,3.8684582710266113,3.920557975769043,3.875702857971192,20.49795913696289,19.29492378234864,22.66778945922852,3.25,5.0,1.785357117652893,3.700000047683716,-0.05209970474243164,1.2030353546142507
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-11 16:00:00,28079024-28079027-28079054-28079058,3.8188772201538086,2.424652576446533,2.672511339187622,26.849239349365234,8.635822296142578,13.859033584594728,4.75,10.0,3.3447721004486084,6.899999141693115,1.3942246437072754,18.213417053222656
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-11 20:00:00,28079024-28079027-28079054-28079058,6.886337757110596,7.1888508796691895,7.070131301879883,113.9513702392578,113.92849731445312,117.51423645019533,7.0,25.0,10.392304420471191,16.79999542236328,-0.30251312255859375,0.02287292480467329
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-12 12:00:00,28079024-28079027-28079054-28079058,7.060372352600098,7.039883613586426,6.398435115814209,56.34972381591797,63.91060256958008,43.13296127319336,13.75,22.0,8.257572174072266,17.099998474121094,0.020488739013671875,-7.560878753662109
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-13 09:00:00,28079024-28079027-28079054-28079058,22.086605072021484,16.361650466918945,14.728097915649414,557.462646484375,338.71875,300.8999938964844,22.75,46.0,17.02020835876465,35.899993896484375,5.724954605102539,218.743896484375
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-13 12:00:00,28079024-28079027-28079054-28079058,12.416543960571287,6.683692455291748,8.215067863464355,172.27606201171875,107.96985626220705,114.3163604736328,25.0,33.0,9.05538558959961,18.399999618530273,5.732851505279539,64.3062057495117
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-14 10:00:00,28079024-28079027-28079054-28079058,13.259471893310549,20.99923324584961,18.638198852539062,195.36427307128903,466.4220275878906,419.7220153808594,19.5,53.0,19.474342346191406,34.399993896484375,-7.739761352539061,-271.05775451660156
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-14 17:00:00,28079024-28079027-28079054-28079058,21.19000244140625,25.20940589904785,20.366962432861328,633.4140625,761.4818725585938,570.9523315429688,28.75,66.0,22.796655654907227,45.49999237060547,-4.019403457641602,-128.06781005859375
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-16 15:00:00,28079024-28079027-28079054-28079058,3.3086724281311035,3.608395576477051,4.12497615814209,12.187899589538574,15.373477935791016,21.47958946228028,2.75,6.0,2.0463380813598633,4.09999942779541,-0.29972314834594727,-3.1855783462524414
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-20 16:00:00,28079024-28079027-28079054-28079058,1.3223605155944824,1.3509149551391602,1.4943878650665283,2.602458000183105,2.2681899070739746,3.210519313812256,2.25,3.0,0.4330126941204071,0.6999998092651367,-0.028554439544677734,0.3342680931091304
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-25 17:00:00,28079024-28079027-28079054-28079058,26.13745880126953,29.65684509277344,25.09440422058105,793.92529296875,886.0226440429688,698.3870239257812,33.0,78.0,26.18205451965332,46.399986267089844,-3.51938629150391,-92.09735107421875
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-28 18:00:00,28079024-28079027-28079054-28079058,25.069412231445312,27.114643096923828,26.637386322021484,830.1567993164062,965.750244140625,1279.491455078125,38.75,82.0,31.85416030883789,67.89999389648438,-2.0452308654785156,-135.59344482421875
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-01-30 06:00:00,28079024-28079027-28079054-28079058,5.69903564453125,7.679720401763916,7.79141902923584,79.84880828857422,88.03425598144531,93.87265014648438,18.5,28.0,9.552486419677734,20.0,-1.980684757232666,-8.185447692871094
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-02-03 09:00:00,28079024-28079027-28079054-28079058,11.090737342834473,10.761541366577148,8.613957405090332,229.84458923339844,145.01927185058594,190.80157470703125,15.0,31.0,9.51314926147461,17.79999542236328,0.3291959762573242,84.8253173828125
METRAQ_NO_BASELINE,C:\Users\david.maria\Documents\python-projects\spatial-inference\output\experiments\experiments_NO\experiment_baseline_newnorm,2024-02-03 18:00:00,28079024-28079027-28079054-28079058,12.893957138061523,14.425453186035156,15.580490112304688,352.9248962402344,381.0716552734375,501.8390197753906,18.75,51.0,19.188213348388672,36.49999237060547,-1.5314960479736328,-28.146759033203125
