pollutant,root,time_window,sensor_group,DIP_L1,KRG_L1,IDW_L1,DIP_MSE,KRG_MSE,IDW_MSE,target_mean_abs,target_max,target_std,target_p90_p10,gap_l1_dip_minus_krg,gap_mse_dip_minus_krg
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-14 10:00:00,28079024-28079027-28079054-28079058,13.65621852874756,12.463972091674805,14.301480293273926,229.54153442382807,256.91455078125,323.2492370605469,28.25,46.0,12.255101203918457,26.099994659423828,1.1922464370727557,-27.373016357421932
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-14 17:00:00,28079024-28079027-28079054-28079058,17.932504653930664,15.19725227355957,17.989017486572266,388.824951171875,314.0639953613281,401.7987060546875,44.25,61.0,13.348689079284668,28.69999885559082,2.7352523803710938,74.76095581054688
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-16 15:00:00,28079024-28079027-28079054-28079058,11.44662380218506,11.936336517333984,11.9847993850708,164.7125701904297,174.25062561035156,183.01754760742188,16.25,31.0,9.73075008392334,20.099998474121094,-0.489712715148924,-9.538055419921875
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-20 16:00:00,28079024-28079027-28079054-28079058,6.532751083374023,5.008900165557861,7.232094287872314,50.28546142578125,50.9194564819336,78.47601318359375,16.75,23.0,4.602988243103027,9.099998474121094,1.523850917816162,-0.6339950561523509
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-25 17:00:00,28079024-28079027-28079054-28079058,14.74538803100586,11.22409439086914,14.962408065795898,225.873046875,142.42544555664062,279.4593811035156,66.0,76.0,6.442049503326416,13.399993896484375,3.5212936401367188,83.44760131835938
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-28 18:00:00,28079024-28079027-28079054-28079058,21.31962013244629,19.479900360107425,24.04564666748047,496.1277160644531,394.0815734863281,606.5050048828125,62.25,81.0,17.85181999206543,36.900001525878906,1.8397197723388636,102.046142578125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-30 06:00:00,28079024-28079027-28079054-28079058,12.013772010803224,12.586264610290527,12.552570343017578,192.6546630859375,213.96728515625,253.02618408203125,29.25,49.0,13.64505386352539,29.09999656677246,-0.5724925994873029,-21.3126220703125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-03 09:00:00,28079024-28079027-28079054-28079058,17.5172119140625,12.736135482788086,14.352473258972168,406.8359680175781,194.54534912109372,289.5608215332031,21.5,37.0,10.234745025634766,21.399995803833008,4.781076431274414,212.2906188964844
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-03 18:00:00,28079024-28079027-28079054-28079058,25.55953025817871,24.515844345092773,25.09185791015625,796.0677490234375,709.1456298828125,793.3250732421875,52.25,83.0,26.621185302734375,56.899993896484375,1.0436859130859375,86.922119140625
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-02-06 18:00:00,28079024-28079027-28079054-28079058,15.868118286132812,17.40081214904785,14.412574768066406,333.1287841796875,416.9509887695313,287.7609558105469,36.5,64.0,20.36541175842285,43.79999923706055,-1.532693862915039,-83.8222045898438
